Epic | Persona | User Story | Acceptance Criteria
Hirer - Booking Management | hirer | As a hirer I want to upload compliance documents with my booking so that the vendor can verify my application | Given I am on the booking form When I attach a driver's licence photo, liability insurance document, or ABN certificate Then they are submitted alongside my booking application
Hirer - Booking Management | hirer | As a hirer I want to view my booking history so that I can track the status of my applications | Given I am logged in When I go to the History tab Then I see all my past and current bookings with their status (Pending, Approved, or Rejected)
Hirer - Booking Management | hirer | As a hirer I want to leave a star rating and review for an approved booking so that I can provide feedback on the venue | Given my booking status is Approved When I select a star rating and optional comment and click Submit Review Then my review is saved and displayed in my booking history
Vendor - Venue Management | vendor | As a vendor I want to create a new venue so that hirers can discover and book it | Given I am on the My Venues tab When I click Add Venue and fill in all required details and submit Then the new venue is created and appears in my list
Vendor - Venue Management | vendor | As a vendor I want to edit my venue details so that the listing stays accurate and up to date | Given I am viewing my venues When I click Edit on a venue and update the details and save Then the changes are saved and reflected on the venue listing
Vendor - Venue Management | vendor | As a vendor I want to deactivate a venue so that it is no longer visible to hirers | Given I am on the My Venues tab When I click Deactivate on a venue and confirm Then the venue is hidden from the hirer browse page
Vendor - Venue Management | vendor | As a vendor I want to assign suitability keywords to my venue so that hirers can find it when filtering by event type | Given I am creating or editing a venue When I select suitability keywords such as wedding or dinner Then those keywords are saved and used when hirers filter venues
Vendor - Venue Management | vendor | As a vendor I want to block a date range for a venue so that hirers cannot book it during that time | Given I am on the Blockouts tab When I select a venue and a start and end date and click Block Then that date range is blocked and shown in the active blockouts list
Vendor - Venue Management | vendor | As a vendor I want to unblock a previously blocked date range so that the venue becomes available for booking again | Given I am on the Blockouts tab and there is an active blockout When I click Unblock on a blockout entry Then the blockout is removed and the venue is available again
Vendor - Booking Management | vendor | As a vendor I want to view all booking applications for my venues so that I can review and manage them | Given I am on the Applications tab When the page loads Then I see all booking applications across all my venues with hirer details and event information
Vendor - Booking Management | vendor | As a vendor I want to see a hirer's reputation score so that I can assess the quality of an applicant | Given I am viewing a booking application When I look at the booking card Then I see the hirer's star rating based on reviews they have received
Vendor - Booking Management | vendor | As a vendor I want to see a hirer's compliance score so that I know how complete their documentation is | Given I am viewing a booking application When I look at the booking card Then I see a compliance score out of 5 based on how many documents the hirer has submitted
Vendor - Booking Management | vendor | As a vendor I want to accept a booking application so that the hirer is confirmed for the venue | Given a booking is in Pending status When I click Approve Then the booking status changes to Approved
Vendor - Booking Management | vendor | As a vendor I want to reject a booking application so that the hirer is informed it was unsuccessful | Given a booking is in Pending status When I click Reject Then the booking status changes to Rejected
Vendor - Analytics | vendor | As a vendor I want to see a bar chart of hirers per venue so that I can understand each venue's individual popularity | Given I am on the Analytics tab When I select the Bar chart view Then I see a bar chart showing each hirer's booking count for each of my venues
Vendor - Analytics | vendor | As a vendor I want to see a stacked bar chart of combined bookings so that I can compare total activity across all my venues | Given I am on the Analytics tab When I select the Stacked Bar chart view Then I see a stacked bar chart showing combined hirer tallies per venue
Vendor - Analytics | vendor | As a vendor I want to see a pie chart of hirer activity so that I can identify my most and least active hirers | Given I am on the Analytics tab When I select the Pie chart view Then I see a pie chart with each hirer's share of total bookings and a most active and least active highlight
Vendor - Analytics | vendor | As a vendor I want to see a line chart of venue utilization over time so that I can identify booking trends | Given I am on the Analytics tab When I select the Line chart view Then I see a line chart plotting the number of booking submissions per day over the selected period
Vendor - Analytics | vendor | As a vendor I want to filter all charts by time period so that I can compare activity across different timeframes | Given I am viewing the Analytics tab When I click This Week, This Month, Last Month, or All Time Then all charts update to show data only for that selected time period
